event_day,hidden_pair_id,trip_id_a,trip_id_b,income_bin_a,income_bin_b,same_income_bin
2026-01-20,2026-01-20:pair:06:01,syn-0-06-p01-0,syn-0-06-p01-1,0,0,True
2026-01-20,2026-01-20:pair:06:02,syn-0-06-p02-0,syn-0-06-p02-1,2,2,True
2026-01-20,2026-01-20:pair:06:03,syn-0-06-p03-0,syn-0-06-p03-1,3,3,True
2026-01-20,2026-01-20:pair:07:00,syn-0-07-p00-0,syn-0-07-p00-1,4,4,True
2026-01-20,2026-01-20:pair:07:01,syn-0-07-p01-0,syn-0-07-p01-1,2,3,False
2026-01-20,2026-01-20:pair:07:02,syn-0-07-p02-0,syn-0-07-p02-1,1,3,False
2026-01-20,2026-01-20:pair:07:03,syn-0-07-p03-0,syn-0-07-p03-1,2,2,True
2026-01-20,2026-01-20:pair:08:00,syn-0-08-p00-0,syn-0-08-p00-1,4,4,True
2026-01-20,2026-01-20:pair:08:01,syn-0-08-p01-0,syn-0-08-p01-1,3,3,True
2026-01-20,2026-01-20:pair:08:02,syn-0-08-p02-0,syn-0-08-p02-1,4,4,True
2026-01-20,2026-01-20:pair:08:03,syn-0-08-p03-0,syn-0-08-p03-1,3,1,False
2026-01-20,2026-01-20:pair:09:00,syn-0-09-p00-0,syn-0-09-p00-1,0,0,True
2026-01-20,2026-01-20:pair:09:01,syn-0-09-p01-0,syn-0-09-p01-1,3,3,True
2026-01-20,2026-01-20:pair:09:02,syn-0-09-p02-0,syn-0-09-p02-1,4,0,False
2026-01-20,2026-01-20:pair:09:03,syn-0-09-p03-0,syn-0-09-p03-1,2,2,True
2026-01-20,2026-01-20:pair:10:00,syn-0-10-p00-0,syn-0-10-p00-1,3,1,False
2026-01-20,2026-01-20:pair:10:01,syn-0-10-p01-0,syn-0-10-p01-1,2,2,True
2026-01-20,2026-01-20:pair:10:02,syn-0-10-p02-0,syn-0-10-p02-1,2,4,False
2026-01-20,2026-01-20:pair:10:03,syn-0-10-p03-0,syn-0-10-p03-1,0,0,True
2026-01-20,2026-01-20:pair:11:00,syn-0-11-p00-0,syn-0-11-p00-1,3,3,True
2026-01-20,2026-01-20:pair:11:01,syn-0-11-p01-0,syn-0-11-p01-1,1,1,True
2026-01-20,2026-01-20:pair:11:02,syn-0-11-p02-0,syn-0-11-p02-1,0,0,True
2026-01-20,2026-01-20:pair:11:03,syn-0-11-p03-0,syn-0-11-p03-1,0,0,True
2026-01-20,2026-01-20:pair:12:00,syn-0-12-p00-0,syn-0-12-p00-1,2,2,True
2026-01-20,2026-01-20:pair:12:01,syn-0-12-p01-0,syn-0-12-p01-1,2,2,True
2026-01-20,2026-01-20:pair:12:02,syn-0-12-p02-0,syn-0-12-p02-1,4,4,True
2026-01-20,2026-01-20:pair:12:03,syn-0-12-p03-0,syn-0-12-p03-1,3,3,True
2026-01-20,2026-01-20:pair:13:00,syn-0-13-p00-0,syn-0-13-p00-1,1,1,True
2026-01-20,2026-01-20:pair:13:01,syn-0-13-p01-0,syn-0-13-p01-1,0,0,True
2026-01-20,2026-01-20:pair:13:02,syn-0-13-p02-0,syn-0-13-p02-1,2,2,True
2026-01-20,2026-01-20:pair:13:03,syn-0-13-p03-0,syn-0-13-p03-1,0,1,False
2026-01-20,2026-01-20:pair:14:00,syn-0-14-p00-0,syn-0-14-p00-1,1,1,True
2026-01-20,2026-01-20:pair:14:01,syn-0-14-p01-0,syn-0-14-p01-1,2,1,False
2026-01-20,2026-01-20:pair:14:02,syn-0-14-p02-0,syn-0-14-p02-1,3,3,True
2026-01-20,2026-01-20:pair:14:03,syn-0-14-p03-0,syn-0-14-p03-1,2,4,False
2026-01-20,2026-01-20:pair:15:00,syn-0-15-p00-0,syn-0-15-p00-1,3,3,True
2026-01-20,2026-01-20:pair:15:01,syn-0-15-p01-0,syn-0-15-p01-1,0,0,True
2026-01-20,2026-01-20:pair:15:02,syn-0-15-p02-0,syn-0-15-p02-1,3,3,True
2026-01-20,2026-01-20:pair:15:03,syn-0-15-p03-0,syn-0-15-p03-1,0,3,False
2026-01-20,2026-01-20:pair:16:00,syn-0-16-p00-0,syn-0-16-p00-1,1,0,False
2026-01-20,2026-01-20:pair:16:01,syn-0-16-p01-0,syn-0-16-p01-1,1,3,False
2026-01-20,2026-01-20:pair:16:02,syn-0-16-p02-0,syn-0-16-p02-1,0,1,False
2026-01-20,2026-01-20:pair:16:03,syn-0-16-p03-0,syn-0-16-p03-1,2,2,True
2026-01-20,2026-01-20:pair:17:00,syn-0-17-p00-0,syn-0-17-p00-1,4,1,False
2026-01-20,2026-01-20:pair:17:01,syn-0-17-p01-0,syn-0-17-p01-1,3,3,True
2026-01-20,2026-01-20:pair:17:02,syn-0-17-p02-0,syn-0-17-p02-1,1,1,True
2026-01-20,2026-01-20:pair:17:03,syn-0-17-p03-0,syn-0-17-p03-1,1,2,False
2026-01-20,2026-01-20:pair:18:00,syn-0-18-p00-0,syn-0-18-p00-1,0,0,True
2026-01-20,2026-01-20:pair:18:01,syn-0-18-p01-0,syn-0-18-p01-1,1,1,True
2026-01-20,2026-01-20:pair:18:02,syn-0-18-p02-0,syn-0-18-p02-1,4,4,True
2026-01-20,2026-01-20:pair:18:03,syn-0-18-p03-0,syn-0-18-p03-1,4,0,False
2026-01-20,2026-01-20:pair:19:00,syn-0-19-p00-0,syn-0-19-p00-1,0,3,False
2026-01-20,2026-01-20:pair:19:01,syn-0-19-p01-0,syn-0-19-p01-1,2,2,True
2026-01-20,2026-01-20:pair:19:02,syn-0-19-p02-0,syn-0-19-p02-1,4,3,False
2026-01-20,2026-01-20:pair:19:03,syn-0-19-p03-0,syn-0-19-p03-1,3,1,False
2026-01-27,2026-01-27:pair:00:00,syn-1-00-p00-0,syn-1-00-p00-1,3,3,True
2026-01-27,2026-01-27:pair:00:01,syn-1-00-p01-0,syn-1-00-p01-1,4,4,True
2026-01-27,2026-01-27:pair:00:02,syn-1-00-p02-0,syn-1-00-p02-1,4,0,False
2026-01-27,2026-01-27:pair:00:03,syn-1-00-p03-0,syn-1-00-p03-1,2,2,True
2026-01-27,2026-01-27:pair:01:00,syn-1-01-p00-0,syn-1-01-p00-1,4,4,True
2026-01-27,2026-01-27:pair:01:01,syn-1-01-p01-0,syn-1-01-p01-1,1,1,True
2026-01-27,2026-01-27:pair:01:02,syn-1-01-p02-0,syn-1-01-p02-1,4,4,True
2026-01-27,2026-01-27:pair:01:03,syn-1-01-p03-0,syn-1-01-p03-1,4,4,True
2026-01-27,2026-01-27:pair:02:00,syn-1-02-p00-0,syn-1-02-p00-1,4,3,False
2026-01-27,2026-01-27:pair:02:01,syn-1-02-p01-0,syn-1-02-p01-1,4,0,False
2026-01-27,2026-01-27:pair:02:02,syn-1-02-p02-0,syn-1-02-p02-1,3,0,False
2026-01-27,2026-01-27:pair:02:03,syn-1-02-p03-0,syn-1-02-p03-1,2,3,False
2026-01-27,2026-01-27:pair:03:00,syn-1-03-p00-0,syn-1-03-p00-1,3,3,True
2026-01-27,2026-01-27:pair:03:01,syn-1-03-p01-0,syn-1-03-p01-1,2,2,True
2026-01-27,2026-01-27:pair:03:02,syn-1-03-p02-0,syn-1-03-p02-1,0,1,False
2026-01-27,2026-01-27:pair:03:03,syn-1-03-p03-0,syn-1-03-p03-1,2,1,False
2026-01-27,2026-01-27:pair:04:00,syn-1-04-p00-0,syn-1-04-p00-1,2,1,False
2026-01-27,2026-01-27:pair:04:01,syn-1-04-p01-0,syn-1-04-p01-1,1,1,True
2026-01-27,2026-01-27:pair:04:02,syn-1-04-p02-0,syn-1-04-p02-1,3,3,True
2026-01-27,2026-01-27:pair:04:03,syn-1-04-p03-0,syn-1-04-p03-1,1,1,True
2026-01-27,2026-01-27:pair:05:00,syn-1-05-p00-0,syn-1-05-p00-1,1,2,False
2026-01-27,2026-01-27:pair:05:01,syn-1-05-p01-0,syn-1-05-p01-1,0,3,False
2026-01-27,2026-01-27:pair:05:02,syn-1-05-p02-0,syn-1-05-p02-1,3,3,True
2026-01-27,2026-01-27:pair:05:03,syn-1-05-p03-0,syn-1-05-p03-1,0,1,False
2026-01-27,2026-01-27:pair:06:00,syn-1-06-p00-0,syn-1-06-p00-1,0,4,False
2026-01-27,2026-01-27:pair:06:01,syn-1-06-p01-0,syn-1-06-p01-1,1,2,False
2026-01-27,2026-01-27:pair:06:02,syn-1-06-p02-0,syn-1-06-p02-1,2,2,True
2026-01-27,2026-01-27:pair:06:03,syn-1-06-p03-0,syn-1-06-p03-1,1,1,True
2026-01-27,2026-01-27:pair:07:00,syn-1-07-p00-0,syn-1-07-p00-1,3,3,True
2026-01-27,2026-01-27:pair:07:01,syn-1-07-p01-0,syn-1-07-p01-1,1,1,True
2026-01-27,2026-01-27:pair:07:02,syn-1-07-p02-0,syn-1-07-p02-1,2,2,True
2026-01-27,2026-01-27:pair:07:03,syn-1-07-p03-0,syn-1-07-p03-1,3,3,True
2026-01-27,2026-01-27:pair:08:00,syn-1-08-p00-0,syn-1-08-p00-1,3,4,False
2026-01-27,2026-01-27:pair:08:01,syn-1-08-p01-0,syn-1-08-p01-1,3,3,True
2026-01-27,2026-01-27:pair:08:02,syn-1-08-p02-0,syn-1-08-p02-1,4,4,True
2026-01-27,2026-01-27:pair:08:03,syn-1-08-p03-0,syn-1-08-p03-1,2,2,True
2026-01-27,2026-01-27:pair:09:00,syn-1-09-p00-0,syn-1-09-p00-1,2,0,False
2026-01-27,2026-01-27:pair:09:01,syn-1-09-p01-0,syn-1-09-p01-1,1,1,True
2026-01-27,2026-01-27:pair:09:02,syn-1-09-p02-0,syn-1-09-p02-1,3,3,True
2026-01-27,2026-01-27:pair:09:03,syn-1-09-p03-0,syn-1-09-p03-1,0,0,True
2026-01-27,2026-01-27:pair:10:00,syn-1-10-p00-0,syn-1-10-p00-1,0,2,False
2026-01-27,2026-01-27:pair:10:01,syn-1-10-p01-0,syn-1-10-p01-1,4,4,True
2026-01-27,2026-01-27:pair:10:02,syn-1-10-p02-0,syn-1-10-p02-1,4,2,False
2026-01-27,2026-01-27:pair:10:03,syn-1-10-p03-0,syn-1-10-p03-1,4,4,True
2026-01-27,2026-01-27:pair:11:00,syn-1-11-p00-0,syn-1-11-p00-1,0,2,False
2026-01-27,2026-01-27:pair:11:01,syn-1-11-p01-0,syn-1-11-p01-1,3,3,True
2026-01-27,2026-01-27:pair:11:02,syn-1-11-p02-0,syn-1-11-p02-1,1,1,True
2026-01-27,2026-01-27:pair:11:03,syn-1-11-p03-0,syn-1-11-p03-1,0,0,True
2026-01-27,2026-01-27:pair:12:00,syn-1-12-p00-0,syn-1-12-p00-1,1,0,False
2026-01-27,2026-01-27:pair:12:01,syn-1-12-p01-0,syn-1-12-p01-1,1,2,False
2026-01-27,2026-01-27:pair:12:02,syn-1-12-p02-0,syn-1-12-p02-1,0,0,True
2026-01-27,2026-01-27:pair:12:03,syn-1-12-p03-0,syn-1-12-p03-1,0,2,False
2026-01-27,2026-01-27:pair:13:00,syn-1-13-p00-0,syn-1-13-p00-1,1,1,True
2026-01-27,2026-01-27:pair:13:01,syn-1-13-p01-0,syn-1-13-p01-1,4,4,True
2026-01-27,2026-01-27:pair:13:02,syn-1-13-p02-0,syn-1-13-p02-1,2,1,False
2026-01-27,2026-01-27:pair:13:03,syn-1-13-p03-0,syn-1-13-p03-1,1,2,False
2026-01-27,2026-01-27:pair:14:00,syn-1-14-p00-0,syn-1-14-p00-1,3,3,True
2026-01-27,2026-01-27:pair:14:01,syn-1-14-p01-0,syn-1-14-p01-1,3,1,False
2026-01-27,2026-01-27:pair:14:02,syn-1-14-p02-0,syn-1-14-p02-1,4,2,False
2026-01-27,2026-01-27:pair:14:03,syn-1-14-p03-0,syn-1-14-p03-1,0,0,True
2026-01-27,2026-01-27:pair:15:00,syn-1-15-p00-0,syn-1-15-p00-1,1,1,True
2026-01-27,2026-01-27:pair:15:01,syn-1-15-p01-0,syn-1-15-p01-1,3,4,False
2026-01-27,2026-01-27:pair:15:02,syn-1-15-p02-0,syn-1-15-p02-1,3,3,True
2026-01-27,2026-01-27:pair:15:03,syn-1-15-p03-0,syn-1-15-p03-1,2,2,True
2026-01-27,2026-01-27:pair:16:00,syn-1-16-p00-0,syn-1-16-p00-1,1,1,True
2026-01-27,2026-01-27:pair:16:01,syn-1-16-p01-0,syn-1-16-p01-1,0,2,False
2026-01-27,2026-01-27:pair:16:02,syn-1-16-p02-0,syn-1-16-p02-1,3,2,False
2026-01-27,2026-01-27:pair:16:03,syn-1-16-p03-0,syn-1-16-p03-1,2,2,True
2026-01-27,2026-01-27:pair:17:00,syn-1-17-p00-0,syn-1-17-p00-1,3,0,False
2026-01-27,2026-01-27:pair:17:01,syn-1-17-p01-0,syn-1-17-p01-1,1,0,False
2026-01-27,2026-01-27:pair:17:02,syn-1-17-p02-0,syn-1-17-p02-1,4,4,True
2026-01-27,2026-01-27:pair:17:03,syn-1-17-p03-0,syn-1-17-p03-1,2,2,True
2026-01-27,2026-01-27:pair:18:00,syn-1-18-p00-0,syn-1-18-p00-1,1,1,True
2026-01-27,2026-01-27:pair:18:01,syn-1-18-p01-0,syn-1-18-p01-1,1,2,False
2026-01-27,2026-01-27:pair:18:02,syn-1-18-p02-0,syn-1-18-p02-1,0,3,False
2026-01-27,2026-01-27:pair:18:03,syn-1-18-p03-0,syn-1-18-p03-1,2,3,False
2026-01-27,2026-01-27:pair:19:00,syn-1-19-p00-0,syn-1-19-p00-1,0,2,False
2026-01-27,2026-01-27:pair:19:01,syn-1-19-p01-0,syn-1-19-p01-1,2,1,False
2026-01-27,2026-01-27:pair:19:02,syn-1-19-p02-0,syn-1-19-p02-1,0,0,True
2026-01-27,2026-01-27:pair:19:03,syn-1-19-p03-0,syn-1-19-p03-1,1,1,True
