trip_id,event_day,hidden_pair_id,income_bin,tract_median_income,matched_truth
syn-0-03-p00-0,2026-01-20,2026-01-20:pair:03:00,1,48000,True
syn-0-03-p00-1,2026-01-20,2026-01-20:pair:03:00,1,48000,True
syn-0-03-p01-0,2026-01-20,2026-01-20:pair:03:01,2,65000,True
syn-0-03-p01-1,2026-01-20,2026-01-20:pair:03:01,0,35000,True
syn-0-03-p02-0,2026-01-20,2026-01-20:pair:03:02,1,48000,True
syn-0-03-p02-1,2026-01-20,2026-01-20:pair:03:02,2,65000,True
syn-0-03-p03-0,2026-01-20,2026-01-20:pair:03:03,3,87000,True
syn-0-03-p03-1,2026-01-20,2026-01-20:pair:03:03,0,35000,True
syn-0-03-u00,2026-01-20,,3,87000,False
syn-0-03-u01,2026-01-20,,4,122000,False
syn-0-03-u02,2026-01-20,,0,35000,False
syn-0-03-u03,2026-01-20,,1,48000,False
syn-0-04-p00-0,2026-01-20,2026-01-20:pair:04:00,0,35000,True
syn-0-04-p00-1,2026-01-20,2026-01-20:pair:04:00,0,35000,True
syn-0-04-p01-0,2026-01-20,2026-01-20:pair:04:01,4,122000,True
syn-0-04-p01-1,2026-01-20,2026-01-20:pair:04:01,4,122000,True
syn-0-04-p02-0,2026-01-20,2026-01-20:pair:04:02,2,65000,True
syn-0-04-p02-1,2026-01-20,2026-01-20:pair:04:02,2,65000,True
syn-0-04-p03-0,2026-01-20,2026-01-20:pair:04:03,2,65000,True
syn-0-04-p03-1,2026-01-20,2026-01-20:pair:04:03,2,65000,True
syn-0-04-u00,2026-01-20,,4,122000,False
syn-0-04-u01,2026-01-20,,0,35000,False
syn-0-04-u02,2026-01-20,,1,48000,False
syn-0-04-u03,2026-01-20,,2,65000,False
syn-0-05-p00-0,2026-01-20,2026-01-20:pair:05:00,2,65000,True
syn-0-05-p00-1,2026-01-20,2026-01-20:pair:05:00,2,65000,True
syn-0-05-p01-0,2026-01-20,2026-01-20:pair:05:01,1,48000,True
syn-0-05-p01-1,2026-01-20,2026-01-20:pair:05:01,1,48000,True
syn-0-05-p02-0,2026-01-20,2026-01-20:pair:05:02,0,35000,True
syn-0-05-p02-1,2026-01-20,2026-01-20:pair:05:02,3,87000,True
syn-0-05-p03-0,2026-01-20,2026-01-20:pair:05:03,0,35000,True
syn-0-05-p03-1,2026-01-20,2026-01-20:pair:05:03,2,65000,True
syn-0-05-u00,2026-01-20,,0,35000,False
syn-0-05-u01,2026-01-20,,1,48000,False
syn-0-05-u02,2026-01-20,,2,65000,False
syn-0-05-u03,2026-01-20,,3,87000,False
syn-0-06-p00-0,2026-01-20,2026-01-20:pair:06:00,3,87000,True
syn-0-06-p00-1,2026-01-20,2026-01-20:pair:06:00,3,87000,True
syn-0-06-p01-0,2026-01-20,2026-01-20:pair:06:01,0,35000,True
syn-0-06-p01-1,2026-01-20,2026-01-20:pair:06:01,0,35000,True
syn-0-06-p02-0,2026-01-20,2026-01-20:pair:06:02,2,65000,True
syn-0-06-p02-1,2026-01-20,2026-01-20:pair:06:02,2,65000,True
syn-0-06-p03-0,2026-01-20,2026-01-20:pair:06:03,3,87000,True
syn-0-06-p03-1,2026-01-20,2026-01-20:pair:06:03,3,87000,True
syn-0-06-u00,2026-01-20,,1,48000,False
syn-0-06-u01,2026-01-20,,2,65000,False
syn-0-06-u02,2026-01-20,,3,87000,False
syn-0-06-u03,2026-01-20,,4,122000,False
syn-0-07-p00-0,2026-01-20,2026-01-20:pair:07:00,4,122000,True
syn-0-07-p00-1,2026-01-20,2026-01-20:pair:07:00,4,122000,True
syn-0-07-p01-0,2026-01-20,2026-01-20:pair:07:01,2,65000,True
syn-0-07-p01-1,2026-01-20,2026-01-20:pair:07:01,3,87000,True
syn-0-07-p02-0,2026-01-20,2026-01-20:pair:07:02,1,48000,True
syn-0-07-p02-1,2026-01-20,2026-01-20:pair:07:02,3,87000,True
syn-0-07-p03-0,2026-01-20,2026-01-20:pair:07:03,2,65000,True
syn-0-07-p03-1,2026-01-20,2026-01-20:pair:07:03,2,65000,True
syn-0-07-u00,2026-01-20,,2,65000,False
syn-0-07-u01,2026-01-20,,3,87000,False
syn-0-07-u02,2026-01-20,,4,122000,False
syn-0-07-u03,2026-01-20,,0,35000,False
syn-0-08-p00-0,2026-01-20,2026-01-20:pair:08:00,4,122000,True
syn-0-08-p00-1,2026-01-20,2026-01-20:pair:08:00,4,122000,True
syn-0-08-p01-0,2026-01-20,2026-01-20:pair:08:01,3,87000,True
syn-0-08-p01-1,2026-01-20,2026-01-20:pair:08:01,3,87000,True
syn-0-08-p02-0,2026-01-20,2026-01-20:pair:08:02,4,122000,True
syn-0-08-p02-1,2026-01-20,2026-01-20:pair:08:02,4,122000,True
syn-0-08-p03-0,2026-01-20,2026-01-20:pair:08:03,3,87000,True
syn-0-08-p03-1,2026-01-20,2026-01-20:pair:08:03,1,48000,True
syn-0-08-u00,2026-01-20,,3,87000,False
syn-0-08-u01,2026-01-20,,4,122000,False
syn-0-08-u02,2026-01-20,,0,35000,False
syn-0-08-u03,2026-01-20,,1,48000,False
syn-0-09-p00-0,2026-01-20,2026-01-20:pair:09:00,0,35000,True
syn-0-09-p00-1,2026-01-20,2026-01-20:pair:09:00,0,35000,True
syn-0-09-p01-0,2026-01-20,2026-01-20:pair:09:01,3,87000,True
syn-0-09-p01-1,2026-01-20,2026-01-20:pair:09:01,3,87000,True
syn-0-09-p02-0,2026-01-20,2026-01-20:pair:09:02,4,122000,True
syn-0-09-p02-1,2026-01-20,2026-01-20:pair:09:02,0,35000,True
syn-0-09-p03-0,2026-01-20,2026-01-20:pair:09:03,2,65000,True
syn-0-09-p03-1,2026-01-20,2026-01-20:pair:09:03,2,65000,True
syn-0-09-u00,2026-01-20,,4,122000,False
syn-0-09-u01,2026-01-20,,0,35000,False
syn-0-09-u02,2026-01-20,,1,48000,False
syn-0-09-u03,2026-01-20,,2,65000,False
syn-0-10-p00-0,2026-01-20,2026-01-20:pair:10:00,3,87000,True
syn-0-10-p00-1,2026-01-20,2026-01-20:pair:10:00,1,48000,True
syn-0-10-p01-0,2026-01-20,2026-01-20:pair:10:01,2,65000,True
syn-0-10-p01-1,2026-01-20,2026-01-20:pair:10:01,2,65000,True
syn-0-10-p02-0,2026-01-20,2026-01-20:pair:10:02,2,65000,True
syn-0-10-p02-1,2026-01-20,2026-01-20:pair:10:02,4,122000,True
syn-0-10-p03-0,2026-01-20,2026-01-20:pair:10:03,0,35000,True
syn-0-10-p03-1,2026-01-20,2026-01-20:pair:10:03,0,35000,True
syn-0-10-u00,2026-01-20,,0,35000,False
syn-0-10-u01,2026-01-20,,1,48000,False
syn-0-10-u02,2026-01-20,,2,65000,False
syn-0-10-u03,2026-01-20,,3,87000,False
syn-0-11-p00-0,2026-01-20,2026-01-20:pair:11:00,3,87000,True
syn-0-11-p00-1,2026-01-20,2026-01-20:pair:11:00,3,87000,True
syn-0-11-p01-0,2026-01-20,2026-01-20:pair:11:01,1,48000,True
syn-0-11-p01-1,2026-01-20,2026-01-20:pair:11:01,1,48000,True
syn-0-11-p02-0,2026-01-20,2026-01-20:pair:11:02,0,35000,True
syn-0-11-p02-1,2026-01-20,2026-01-20:pair:11:02,0,35000,True
syn-0-11-p03-0,2026-01-20,2026-01-20:pair:11:03,0,35000,True
syn-0-11-p03-1,2026-01-20,2026-01-20:pair:11:03,0,35000,True
syn-0-11-u00,2026-01-20,,1,48000,False
syn-0-11-u01,2026-01-20,,2,65000,False
syn-0-11-u02,2026-01-20,,3,87000,False
syn-0-11-u03,2026-01-20,,4,122000,False
syn-0-12-p00-0,2026-01-20,2026-01-20:pair:12:00,2,65000,True
syn-0-12-p00-1,2026-01-20,2026-01-20:pair:12:00,2,65000,True
syn-0-12-p01-0,2026-01-20,2026-01-20:pair:12:01,2,65000,True
syn-0-12-p01-1,2026-01-20,2026-01-20:pair:12:01,2,65000,True
syn-0-12-p02-0,2026-01-20,2026-01-20:pair:12:02,4,122000,True
syn-0-12-p02-1,2026-01-20,2026-01-20:pair:12:02,4,122000,True
syn-0-12-p03-0,2026-01-20,2026-01-20:pair:12:03,3,87000,True
syn-0-12-p03-1,2026-01-20,2026-01-20:pair:12:03,3,87000,True
syn-0-12-u00,2026-01-20,,2,65000,False
syn-0-12-u01,2026-01-20,,3,87000,False
syn-0-12-u02,2026-01-20,,4,122000,False
syn-0-12-u03,2026-01-20,,0,35000,False
syn-0-13-p00-0,2026-01-20,2026-01-20:pair:13:00,1,48000,True
syn-0-13-p00-1,2026-01-20,2026-01-20:pair:13:00,1,48000,True
syn-0-13-p01-0,2026-01-20,2026-01-20:pair:13:01,0,35000,True
syn-0-13-p01-1,2026-01-20,2026-01-20:pair:13:01,0,35000,True
syn-0-13-p02-0,2026-01-20,2026-01-20:pair:13:02,2,65000,True
syn-0-13-p02-1,2026-01-20,2026-01-20:pair:13:02,2,65000,True
syn-0-13-p03-0,2026-01-20,2026-01-20:pair:13:03,0,35000,True
syn-0-13-p03-1,2026-01-20,2026-01-20:pair:13:03,1,48000,True
syn-0-13-u00,2026-01-20,,3,87000,False
syn-0-13-u01,2026-01-20,,4,122000,False
syn-0-13-u02,2026-01-20,,0,35000,False
syn-0-13-u03,2026-01-20,,1,48000,False
syn-0-14-p00-0,2026-01-20,2026-01-20:pair:14:00,1,48000,True
syn-0-14-p00-1,2026-01-20,2026-01-20:pair:14:00,1,48000,True
syn-0-14-p01-0,2026-01-20,2026-01-20:pair:14:01,2,65000,True
syn-0-14-p01-1,2026-01-20,2026-01-20:pair:14:01,1,48000,True
syn-0-14-p02-0,2026-01-20,2026-01-20:pair:14:02,3,87000,True
syn-0-14-p02-1,2026-01-20,2026-01-20:pair:14:02,3,87000,True
syn-0-14-p03-0,2026-01-20,2026-01-20:pair:14:03,2,65000,True
syn-0-14-p03-1,2026-01-20,2026-01-20:pair:14:03,4,122000,True
syn-0-14-u00,2026-01-20,,4,122000,False
syn-0-14-u01,2026-01-20,,0,35000,False
syn-0-14-u02,2026-01-20,,1,48000,False
syn-0-14-u03,2026-01-20,,2,65000,False
syn-0-15-p00-0,2026-01-20,2026-01-20:pair:15:00,3,87000,True
syn-0-15-p00-1,2026-01-20,2026-01-20:pair:15:00,3,87000,True
syn-0-15-p01-0,2026-01-20,2026-01-20:pair:15:01,0,35000,True
syn-0-15-p01-1,2026-01-20,2026-01-20:pair:15:01,0,35000,True
syn-0-15-p02-0,2026-01-20,2026-01-20:pair:15:02,3,87000,True
syn-0-15-p02-1,2026-01-20,2026-01-20:pair:15:02,3,87000,True
syn-0-15-p03-0,2026-01-20,2026-01-20:pair:15:03,0,35000,True
syn-0-15-p03-1,2026-01-20,2026-01-20:pair:15:03,3,87000,True
syn-0-15-u00,2026-01-20,,0,35000,False
syn-0-15-u01,2026-01-20,,1,48000,False
syn-0-15-u02,2026-01-20,,2,65000,False
syn-0-15-u03,2026-01-20,,3,87000,False
syn-0-16-p00-0,2026-01-20,2026-01-20:pair:16:00,1,48000,True
syn-0-16-p00-1,2026-01-20,2026-01-20:pair:16:00,0,35000,True
syn-0-16-p01-0,2026-01-20,2026-01-20:pair:16:01,1,48000,True
syn-0-16-p01-1,2026-01-20,2026-01-20:pair:16:01,3,87000,True
syn-0-16-p02-0,2026-01-20,2026-01-20:pair:16:02,0,35000,True
syn-0-16-p02-1,2026-01-20,2026-01-20:pair:16:02,1,48000,True
syn-0-16-p03-0,2026-01-20,2026-01-20:pair:16:03,2,65000,True
syn-0-16-p03-1,2026-01-20,2026-01-20:pair:16:03,2,65000,True
syn-0-16-u00,2026-01-20,,1,48000,False
syn-0-16-u01,2026-01-20,,2,65000,False
syn-0-16-u02,2026-01-20,,3,87000,False
syn-0-16-u03,2026-01-20,,4,122000,False
syn-0-17-p00-0,2026-01-20,2026-01-20:pair:17:00,4,122000,True
syn-0-17-p00-1,2026-01-20,2026-01-20:pair:17:00,1,48000,True
syn-0-17-p01-0,2026-01-20,2026-01-20:pair:17:01,3,87000,True
syn-0-17-p01-1,2026-01-20,2026-01-20:pair:17:01,3,87000,True
syn-0-17-p02-0,2026-01-20,2026-01-20:pair:17:02,1,48000,True
syn-0-17-p02-1,2026-01-20,2026-01-20:pair:17:02,1,48000,True
syn-0-17-p03-0,2026-01-20,2026-01-20:pair:17:03,1,48000,True
syn-0-17-p03-1,2026-01-20,2026-01-20:pair:17:03,2,65000,True
syn-0-17-u00,2026-01-20,,2,65000,False
syn-0-17-u01,2026-01-20,,3,87000,False
syn-0-17-u02,2026-01-20,,4,122000,False
syn-0-17-u03,2026-01-20,,0,35000,False
syn-0-18-p00-0,2026-01-20,2026-01-20:pair:18:00,0,35000,True
syn-0-18-p00-1,2026-01-20,2026-01-20:pair:18:00,0,35000,True
syn-0-18-p01-0,2026-01-20,2026-01-20:pair:18:01,1,48000,True
syn-0-18-p01-1,2026-01-20,2026-01-20:pair:18:01,1,48000,True
syn-0-18-p02-0,2026-01-20,2026-01-20:pair:18:02,4,122000,True
syn-0-18-p02-1,2026-01-20,2026-01-20:pair:18:02,4,122000,True
syn-0-18-p03-0,2026-01-20,2026-01-20:pair:18:03,4,122000,True
syn-0-18-p03-1,2026-01-20,2026-01-20:pair:18:03,0,35000,True
syn-0-18-u00,2026-01-20,,3,87000,False
syn-0-18-u01,2026-01-20,,4,122000,False
syn-0-18-u02,2026-01-20,,0,35000,False
syn-0-18-u03,2026-01-20,,1,48000,False
syn-0-19-p00-0,2026-01-20,2026-01-20:pair:19:00,0,35000,True
syn-0-19-p00-1,2026-01-20,2026-01-20:pair:19:00,3,87000,True
syn-0-19-p01-0,2026-01-20,2026-01-20:pair:19:01,2,65000,True
syn-0-19-p01-1,2026-01-20,2026-01-20:pair:19:01,2,65000,True
syn-0-19-p02-0,2026-01-20,2026-01-20:pair:19:02,4,122000,True
syn-0-19-p02-1,2026-01-20,2026-01-20:pair:19:02,3,87000,True
syn-0-19-p03-0,2026-01-20,2026-01-20:pair:19:03,3,87000,True
syn-0-19-p03-1,2026-01-20,2026-01-20:pair:19:03,1,48000,True
syn-0-19-u00,2026-01-20,,4,122000,False
syn-0-19-u01,2026-01-20,,0,35000,False
syn-0-19-u02,2026-01-20,,1,48000,False
syn-0-19-u03,2026-01-20,,2,65000,False
syn-1-00-p00-0,2026-01-27,2026-01-27:pair:00:00,3,87000,True
syn-1-00-p00-1,2026-01-27,2026-01-27:pair:00:00,3,87000,True
syn-1-00-p01-0,2026-01-27,2026-01-27:pair:00:01,4,122000,True
syn-1-00-p01-1,2026-01-27,2026-01-27:pair:00:01,4,122000,True
syn-1-00-p02-0,2026-01-27,2026-01-27:pair:00:02,4,122000,True
syn-1-00-p02-1,2026-01-27,2026-01-27:pair:00:02,0,35000,True
syn-1-00-p03-0,2026-01-27,2026-01-27:pair:00:03,2,65000,True
syn-1-00-p03-1,2026-01-27,2026-01-27:pair:00:03,2,65000,True
syn-1-00-u00,2026-01-27,,1,48000,False
syn-1-00-u01,2026-01-27,,2,65000,False
syn-1-00-u02,2026-01-27,,3,87000,False
syn-1-00-u03,2026-01-27,,4,122000,False
syn-1-01-p00-0,2026-01-27,2026-01-27:pair:01:00,4,122000,True
syn-1-01-p00-1,2026-01-27,2026-01-27:pair:01:00,4,122000,True
syn-1-01-p01-0,2026-01-27,2026-01-27:pair:01:01,1,48000,True
syn-1-01-p01-1,2026-01-27,2026-01-27:pair:01:01,1,48000,True
syn-1-01-p02-0,2026-01-27,2026-01-27:pair:01:02,4,122000,True
syn-1-01-p02-1,2026-01-27,2026-01-27:pair:01:02,4,122000,True
syn-1-01-p03-0,2026-01-27,2026-01-27:pair:01:03,4,122000,True
syn-1-01-p03-1,2026-01-27,2026-01-27:pair:01:03,4,122000,True
syn-1-01-u00,2026-01-27,,2,65000,False
syn-1-01-u01,2026-01-27,,3,87000,False
syn-1-01-u02,2026-01-27,,4,122000,False
syn-1-01-u03,2026-01-27,,0,35000,False
syn-1-02-p00-0,2026-01-27,2026-01-27:pair:02:00,4,122000,True
syn-1-02-p00-1,2026-01-27,2026-01-27:pair:02:00,3,87000,True
syn-1-02-p01-0,2026-01-27,2026-01-27:pair:02:01,4,122000,True
syn-1-02-p01-1,2026-01-27,2026-01-27:pair:02:01,0,35000,True
syn-1-02-p02-0,2026-01-27,2026-01-27:pair:02:02,3,87000,True
syn-1-02-p02-1,2026-01-27,2026-01-27:pair:02:02,0,35000,True
syn-1-02-p03-0,2026-01-27,2026-01-27:pair:02:03,2,65000,True
syn-1-02-p03-1,2026-01-27,2026-01-27:pair:02:03,3,87000,True
syn-1-02-u00,2026-01-27,,3,87000,False
syn-1-02-u01,2026-01-27,,4,122000,False
syn-1-02-u02,2026-01-27,,0,35000,False
syn-1-02-u03,2026-01-27,,1,48000,False
syn-1-03-p00-0,2026-01-27,2026-01-27:pair:03:00,3,87000,True
syn-1-03-p00-1,2026-01-27,2026-01-27:pair:03:00,3,87000,True
syn-1-03-p01-0,2026-01-27,2026-01-27:pair:03:01,2,65000,True
syn-1-03-p01-1,2026-01-27,2026-01-27:pair:03:01,2,65000,True
syn-1-03-p02-0,2026-01-27,2026-01-27:pair:03:02,0,35000,True
syn-1-03-p02-1,2026-01-27,2026-01-27:pair:03:02,1,48000,True
syn-1-03-p03-0,2026-01-27,2026-01-27:pair:03:03,2,65000,True
syn-1-03-p03-1,2026-01-27,2026-01-27:pair:03:03,1,48000,True
syn-1-03-u00,2026-01-27,,4,122000,False
syn-1-03-u01,2026-01-27,,0,35000,False
syn-1-03-u02,2026-01-27,,1,48000,False
syn-1-03-u03,2026-01-27,,2,65000,False
syn-1-04-p00-0,2026-01-27,2026-01-27:pair:04:00,2,65000,True
syn-1-04-p00-1,2026-01-27,2026-01-27:pair:04:00,1,48000,True
syn-1-04-p01-0,2026-01-27,2026-01-27:pair:04:01,1,48000,True
syn-1-04-p01-1,2026-01-27,2026-01-27:pair:04:01,1,48000,True
syn-1-04-p02-0,2026-01-27,2026-01-27:pair:04:02,3,87000,True
syn-1-04-p02-1,2026-01-27,2026-01-27:pair:04:02,3,87000,True
syn-1-04-p03-0,2026-01-27,2026-01-27:pair:04:03,1,48000,True
syn-1-04-p03-1,2026-01-27,2026-01-27:pair:04:03,1,48000,True
syn-1-04-u00,2026-01-27,,0,35000,False
syn-1-04-u01,2026-01-27,,1,48000,False
syn-1-04-u02,2026-01-27,,2,65000,False
syn-1-04-u03,2026-01-27,,3,87000,False
syn-1-05-p00-0,2026-01-27,2026-01-27:pair:05:00,1,48000,True
syn-1-05-p00-1,2026-01-27,2026-01-27:pair:05:00,2,65000,True
syn-1-05-p01-0,2026-01-27,2026-01-27:pair:05:01,0,35000,True
syn-1-05-p01-1,2026-01-27,2026-01-27:pair:05:01,3,87000,True
syn-1-05-p02-0,2026-01-27,2026-01-27:pair:05:02,3,87000,True
syn-1-05-p02-1,2026-01-27,2026-01-27:pair:05:02,3,87000,True
syn-1-05-p03-0,2026-01-27,2026-01-27:pair:05:03,0,35000,True
syn-1-05-p03-1,2026-01-27,2026-01-27:pair:05:03,1,48000,True
syn-1-05-u00,2026-01-27,,1,48000,False
syn-1-05-u01,2026-01-27,,2,65000,False
syn-1-05-u02,2026-01-27,,3,87000,False
syn-1-05-u03,2026-01-27,,4,122000,False
syn-1-06-p00-0,2026-01-27,2026-01-27:pair:06:00,0,35000,True
syn-1-06-p00-1,2026-01-27,2026-01-27:pair:06:00,4,122000,True
syn-1-06-p01-0,2026-01-27,2026-01-27:pair:06:01,1,48000,True
syn-1-06-p01-1,2026-01-27,2026-01-27:pair:06:01,2,65000,True
syn-1-06-p02-0,2026-01-27,2026-01-27:pair:06:02,2,65000,True
syn-1-06-p02-1,2026-01-27,2026-01-27:pair:06:02,2,65000,True
syn-1-06-p03-0,2026-01-27,2026-01-27:pair:06:03,1,48000,True
syn-1-06-p03-1,2026-01-27,2026-01-27:pair:06:03,1,48000,True
syn-1-06-u00,2026-01-27,,2,65000,False
syn-1-06-u01,2026-01-27,,3,87000,False
syn-1-06-u02,2026-01-27,,4,122000,False
syn-1-06-u03,2026-01-27,,0,35000,False
syn-1-07-p00-0,2026-01-27,2026-01-27:pair:07:00,3,87000,True
syn-1-07-p00-1,2026-01-27,2026-01-27:pair:07:00,3,87000,True
syn-1-07-p01-0,2026-01-27,2026-01-27:pair:07:01,1,48000,True
syn-1-07-p01-1,2026-01-27,2026-01-27:pair:07:01,1,48000,True
syn-1-07-p02-0,2026-01-27,2026-01-27:pair:07:02,2,65000,True
syn-1-07-p02-1,2026-01-27,2026-01-27:pair:07:02,2,65000,True
syn-1-07-p03-0,2026-01-27,2026-01-27:pair:07:03,3,87000,True
syn-1-07-p03-1,2026-01-27,2026-01-27:pair:07:03,3,87000,True
syn-1-07-u00,2026-01-27,,3,87000,False
syn-1-07-u01,2026-01-27,,4,122000,False
syn-1-07-u02,2026-01-27,,0,35000,False
syn-1-07-u03,2026-01-27,,1,48000,False
syn-1-08-p00-0,2026-01-27,2026-01-27:pair:08:00,3,87000,True
syn-1-08-p00-1,2026-01-27,2026-01-27:pair:08:00,4,122000,True
syn-1-08-p01-0,2026-01-27,2026-01-27:pair:08:01,3,87000,True
syn-1-08-p01-1,2026-01-27,2026-01-27:pair:08:01,3,87000,True
syn-1-08-p02-0,2026-01-27,2026-01-27:pair:08:02,4,122000,True
syn-1-08-p02-1,2026-01-27,2026-01-27:pair:08:02,4,122000,True
syn-1-08-p03-0,2026-01-27,2026-01-27:pair:08:03,2,65000,True
syn-1-08-p03-1,2026-01-27,2026-01-27:pair:08:03,2,65000,True
syn-1-08-u00,2026-01-27,,4,122000,False
syn-1-08-u01,2026-01-27,,0,35000,False
syn-1-08-u02,2026-01-27,,1,48000,False
syn-1-08-u03,2026-01-27,,2,65000,False
syn-1-09-p00-0,2026-01-27,2026-01-27:pair:09:00,2,65000,True
syn-1-09-p00-1,2026-01-27,2026-01-27:pair:09:00,0,35000,True
syn-1-09-p01-0,2026-01-27,2026-01-27:pair:09:01,1,48000,True
syn-1-09-p01-1,2026-01-27,2026-01-27:pair:09:01,1,48000,True
syn-1-09-p02-0,2026-01-27,2026-01-27:pair:09:02,3,87000,True
syn-1-09-p02-1,2026-01-27,2026-01-27:pair:09:02,3,87000,True
syn-1-09-p03-0,2026-01-27,2026-01-27:pair:09:03,0,35000,True
syn-1-09-p03-1,2026-01-27,2026-01-27:pair:09:03,0,35000,True
syn-1-09-u00,2026-01-27,,0,35000,False
syn-1-09-u01,2026-01-27,,1,48000,False
syn-1-09-u02,2026-01-27,,2,65000,False
syn-1-09-u03,2026-01-27,,3,87000,False
syn-1-10-p00-0,2026-01-27,2026-01-27:pair:10:00,0,35000,True
syn-1-10-p00-1,2026-01-27,2026-01-27:pair:10:00,2,65000,True
syn-1-10-p01-0,2026-01-27,2026-01-27:pair:10:01,4,122000,True
syn-1-10-p01-1,2026-01-27,2026-01-27:pair:10:01,4,122000,True
syn-1-10-p02-0,2026-01-27,2026-01-27:pair:10:02,4,122000,True
syn-1-10-p02-1,2026-01-27,2026-01-27:pair:10:02,2,65000,True
syn-1-10-p03-0,2026-01-27,2026-01-27:pair:10:03,4,122000,True
syn-1-10-p03-1,2026-01-27,2026-01-27:pair:10:03,4,122000,True
syn-1-10-u00,2026-01-27,,1,48000,False
syn-1-10-u01,2026-01-27,,2,65000,False
syn-1-10-u02,2026-01-27,,3,87000,False
syn-1-10-u03,2026-01-27,,4,122000,False
syn-1-11-p00-0,2026-01-27,2026-01-27:pair:11:00,0,35000,True
syn-1-11-p00-1,2026-01-27,2026-01-27:pair:11:00,2,65000,True
syn-1-11-p01-0,2026-01-27,2026-01-27:pair:11:01,3,87000,True
syn-1-11-p01-1,2026-01-27,2026-01-27:pair:11:01,3,87000,True
syn-1-11-p02-0,2026-01-27,2026-01-27:pair:11:02,1,48000,True
syn-1-11-p02-1,2026-01-27,2026-01-27:pair:11:02,1,48000,True
syn-1-11-p03-0,2026-01-27,2026-01-27:pair:11:03,0,35000,True
syn-1-11-p03-1,2026-01-27,2026-01-27:pair:11:03,0,35000,True
syn-1-11-u00,2026-01-27,,2,65000,False
syn-1-11-u01,2026-01-27,,3,87000,False
syn-1-11-u02,2026-01-27,,4,122000,False
syn-1-11-u03,2026-01-27,,0,35000,False
syn-1-12-p00-0,2026-01-27,2026-01-27:pair:12:00,1,48000,True
syn-1-12-p00-1,2026-01-27,2026-01-27:pair:12:00,0,35000,True
syn-1-12-p01-0,2026-01-27,2026-01-27:pair:12:01,1,48000,True
syn-1-12-p01-1,2026-01-27,2026-01-27:pair:12:01,2,65000,True
syn-1-12-p02-0,2026-01-27,2026-01-27:pair:12:02,0,35000,True
syn-1-12-p02-1,2026-01-27,2026-01-27:pair:12:02,0,35000,True
syn-1-12-p03-0,2026-01-27,2026-01-27:pair:12:03,0,35000,True
syn-1-12-p03-1,2026-01-27,2026-01-27:pair:12:03,2,65000,True
syn-1-12-u00,2026-01-27,,3,87000,False
syn-1-12-u01,2026-01-27,,4,122000,False
syn-1-12-u02,2026-01-27,,0,35000,False
syn-1-12-u03,2026-01-27,,1,48000,False
syn-1-13-p00-0,2026-01-27,2026-01-27:pair:13:00,1,48000,True
